A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,Monto,Fraude
0,10,50257,0,0,0,0,0,0,UY,0.80,0,3,1,0,5,0.00,0.00,7.25,37.51,1
0,10,29014,0,0,0,0,0,0,UY,,0,1,1,0,3,0.00,0.00,11.66,8.18,1
0,7,92,0,1,0,0,0,1,UY,,0,3,1,0,2,0.00,0.00,86.97,13.96,1
9,16,50269,0,0,0,0,0,0,UY,0.91,0,3,1,0,5,0.00,0.00,2.51,93.67,1
0,8,8180,0,0,0,0,0,0,UY,,0,1,1,0,1,0.00,0.00,25.96,135.40,1
1,12,1141,0,0,0,0,0,0,UY,0.47,0,1,1,0,1,0.00,0.00,31.64,31.21,1
10,18,4560,0,0,0,0,0,0,UY,0.67,0,3,1,0,5,0.00,0.00,2.55,26.99,1
0,10,38,0,0,0,0,0,0,UY,,0,1,1,1,5,0.00,0.00,26.72,83.30,1
0,14,3790,0,0,0,0,0,0,UY,0.56,0,1,1,1,5,0.00,0.00,43.21,30.89,1
0,16,23210,0,0,0,0,0,0,UY,,1,1,1,0,2,0.00,0.00,9.27,52.05,1
0,16,5696,0,0,0,0,0,0,UY,,0,2,1,0,2,0.00,0.00,30.36,29.44,1
0,17,10657,0,0,0,0,0,0,UY,,0,1,1,0,1,0.00,0.00,9.98,11.32,1
0,15,39178,0,0,0,0,0,0,UY,,0,3,1,0,5,0.00,0.00,16.68,12.97,1
0,17,10663,0,0,0,0,0,0,UY,,0,1,1,0,1,0.00,0.00,12.11,11.32,1
0,10,18011,0,0,0,0,0,0,UY,,1,1,1,0,1,0.00,0.00,9.41,124.98,1
0,3,80,0,0,0,0,0,0,UY,,2,1,1,0,3,0.00,0.00,5.63,15.63,1
0,11,847,0,0,0,0,0,0,UY,0.97,2,2,2,0,4,600.17,0.00,4.72,80.70,1
0,15,7879,0,0,0,0,0,0,UY,,2,2,2,0,3,0.00,0.00,26.13,28.65,1
0,17,7882,0,0,0,0,0,0,UY,0.49,2,2,2,0,3,28.65,0.00,13.34,28.65,1
0,12,6150,0,0,0,0,0,0,UY,,3,3,2,0,4,0.00,0.00,19.03,97.32,1
1,10,50173,0,0,0,0,0,0,UY,,0,2,1,0,2,0.00,0.00,20.76,289.14,1
0,9,814,0,0,0,0,0,0,UY,0.50,2,1,1,0,2,0.00,361.94,82.78,25.37,1
0,6,719,0,0,0,0,0,0,UY,0.47,4,3,3,3,4,181.94,0.00,16.18,102.06,1
0,11,22404,0,0,0,0,0,0,UY,,1,2,2,0,1,0.00,0.00,27.68,91.42,1
0,10,4667,0,0,0,0,0,0,UY,,0,2,1,0,4,0.00,0.00,36.94,41.42,1
0,11,121,0,0,0,0,0,0,UY,,2,3,2,0,1,0.00,0.00,11.21,"12,538.44",1
0,12,12878,0,0,0,0,0,0,UY,,0,1,1,0,1,0.00,0.00,13.09,20.74,1
0,10,8921,0,0,0,0,0,0,UY,,0,1,1,0,1,0.00,0.00,89.07,126.21,1
0,17,235,0,0,0,0,0,0,UY,0.74,2,4,4,0,3,200.03,0.00,22.50,44.28,1
0,13,2252,0,0,0,0,0,0,UY,0.51,4,3,3,3,4,283.99,0.00,5.00,58.50,1
0,11,1955,0,0,0,0,0,0,UY,0.49,3,3,2,0,4,97.32,0.00,25.89,20.32,1
0,10,287,0,0,0,0,0,0,UY,0.83,2,4,4,0,3,244.31,0.00,33.95,26.00,1
0,13,6089,0,0,0,0,0,0,UY,,1,2,2,0,1,0.00,0.00,19.40,44.73,1
11,9,,0,0,0,0,0,0,UY,0.81,0,3,1,0,5,0.00,0.00,10.39,175.36,1
0,9,53878,0,0,0,0,0,0,UY,0.85,2,4,4,0,3,270.31,0.00,5.78,20.11,1
1,4,88563,1,0,0,0,0,0,UY,,1,1,1,0,2,0.00,0.00,4.62,134.88,1
1,9,18138,0,0,0,0,0,0,UY,0.71,1,1,1,0,1,0.00,0.00,23.09,198.44,1
2,7,2667,0,0,0,0,0,0,UY,0.57,0,2,1,0,4,0.00,0.00,50.87,28.60,1
0,12,28709,0,0,0,0,0,0,UY,0.60,0,1,1,0,3,0.00,0.00,40.60,9.85,1
0,9,4448,0,0,0,0,0,0,UY,0.55,3,2,1,0,3,0.00,0.00,31.66,14.59,1
0,8,7371,0,0,0,0,0,0,UY,0.83,0,2,1,0,4,0.00,0.00,7.42,18.70,1
2,3,5,12,0,0,0,9,0,UY,,0,1,1,0,2,0.00,0.00,92.08,223.50,1
0,5,,0,0,0,0,0,0,UY,0.75,0,2,1,0,2,0.00,0.00,47.21,328.11,1
0,4,2815,0,0,0,0,0,0,UY,,1,1,1,0,2,49.19,0.00,3.06,24.60,1
0,5,48518,0,0,0,0,0,0,UY,,0,7,1,0,4,0.00,0.00,2.24,65.62,1
0,9,,0,0,0,0,0,0,UY,,1,2,1,0,2,0.00,0.00,11.56,79.66,1
2,17,41606,0,0,0,0,0,0,UY,,1,2,2,0,1,0.00,0.00,36.01,285.49,1
0,9,24810,0,0,0,0,0,0,UY,0.58,0,3,1,0,1,0.00,0.00,52.12,11.93,1
0,9,1314,0,0,0,0,0,0,UY,0.88,1,1,1,0,2,0.00,0.00,1.69,30.48,1
0,12,1452,0,0,0,0,0,0,UY,,0,1,1,0,3,0.00,0.00,15.40,24.43,1
0,4,381,0,0,0,0,0,0,UY,,1,1,1,0,1,0.00,0.00,51.61,385.47,1
0,11,15959,0,0,0,0,0,0,UY,,0,3,1,0,5,0.00,0.00,19.91,51.06,1
0,15,52887,0,0,0,0,0,0,UY,,2,2,1,0,2,0.00,0.00,3.50,28.13,1
0,13,,0,0,0,0,0,0,UY,,0,1,1,0,2,0.00,0.00,18.36,71.48,1
0,16,1779,0,0,0,0,0,0,UY,,1,1,1,0,2,0.00,0.00,98.59,75.54,1
0,5,276453,0,0,0,0,0,0,UY,,1,2,2,0,1,0.00,0.00,20.42,357.86,1
0,16,1975,0,0,0,0,0,0,UY,,2,5,1,0,1,0.00,0.00,96.72,31.26,1
0,13,117,0,0,0,0,0,0,UY,,0,2,1,0,4,0.00,0.00,25.78,46.37,1
0,4,16999,0,0,0,0,0,0,UY,,0,1,1,0,1,0.00,0.00,9.02,309.62,1
0,16,1183,1,1,0.014,0,1,0,UY,,0,2,1,0,3,0.00,0.00,15.67,15.58,1
0,5,2509,0,0,0,0,0,0,UY,,1,1,1,0,1,385.47,0.00,55.42,120.33,1
0,9,0,0,0,0,0,0,0,UY,,1,1,1,0,1,0.00,0.00,89.77,95.26,1
0,11,4186,0,0,0,0,0,0,UY,0.75,0,1,1,0,2,0.00,0.00,3.80,20.88,1
0,17,18205,0,0,0,0,0,0,UY,0.48,0,2,1,0,4,0.00,0.00,10.86,172.67,1
